resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,jitter_x_cm,jitter_x_norm,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,8.51,left,1.401,0,0,0,6,1,images/l1.png,-1,0.3,0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.375,0,1,1,10,1,images/r2.png,2,0.15,0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.921,0,2,2,12,1,images/r8.png,8,0,0,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.223,0,3,3,1,1,images/l8.png,-8,0,0,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.207,0,4,4,11,1,images/r4.png,4,-0.3,-0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.336,0,5,5,2,1,images/l4.png,-4,-0.15,-0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.637,0,6,6,3,1,images/l2.png,-2,-0.3,-0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,left,0.869,0,7,7,0,1,images/l8.png,-8,-0.3,-0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.336,0,8,8,7,1,images/0.png,0,-0.15,-0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.203,0,9,9,8,1,images/r1.png,1,0.3,0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.185,0,10,10,9,1,images/r2.png,2,-0.15,-0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.32,0,11,11,5,1,images/l2.png,-2,0.15,0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.169,0,12,12,4,1,images/l2.png,-2,-0.15,-0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.089,0,13,13,13,1,images/r8.png,8,0.3,0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.019,,,,,,images/r4.png,4,0.15,0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,space,3.071,0,0,0,38,1
,,left,1.091,,,,,,images/l2.png,-2,0,0,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,1,1,12,1
,,left,1.052,,,,,,images/l8.png,-8,0.15,0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,2,2,3,1
,,right,1.368,,,,,,images/l4.png,-4,-0.15,-0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,3,3,6,1
,,right,1.323,,,,,,images/r2.png,2,0.15,0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,4,4,33,1
,,right,1.135,,,,,,images/r8.png,8,0.3,0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,5,5,44,1
,,left,1.675,,,,,,images/l8.png,-8,-0.3,-0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,6,6,0,1
,,left,1.453,,,,,,images/l4.png,-4,0,0,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,7,7,7,1
,,right,1.202,,,,,,images/r4.png,4,-0.15,-0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,8,8,36,1
,,right,1.186,,,,,,images/r2.png,2,0,0,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,9,9,32,1
,,right,1.269,,,,,,images/l4.png,-4,-0.3,-0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,10,10,5,1
,,left,1.219,,,,,,images/l8.png,-8,-0.15,-0.0375,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,11,11,1,1
,,right,1.42,,,,,,images/l2.png,-2,-0.3,-0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,12,12,10,1
,,right,1.791,,,,,,images/0.png,0,0.3,0.075,003,001,2020-11-25_19h04.22.141,lm,2020.2.8,Win32,60,,,0,13,13,24,1
