resp_txt.keys,resp_txt.rt,resp.keys,resp.rt,trials_training.thisRepN,trials_training.thisTrialN,trials_training.thisN,trials_training.thisIndex,trials_training.ran,line_file,offset,jitter_x_cm,jitter_x_norm,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_after_training.keys,key_resp_after_training.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
space,20.95453,right,1.072615,0,0,0,11,1,images/r4.png,4,-0.3,-0.075,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,left,0.8708,0,1,1,2,1,images/l4.png,-4,-0.15,-0.0375,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,left,0.85137,0,2,2,1,1,images/l8.png,-8,0,0,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.03587,0,3,3,8,1,images/r1.png,1,0.3,0.075,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,right,0.99596,0,4,4,9,1,images/r2.png,2,-0.15,-0.0375,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.07094,0,5,5,6,1,images/l1.png,-1,0.3,0.075,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.001875,0,6,6,7,1,images/0.png,0,-0.15,-0.0375,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.43918,0,7,7,3,1,images/l2.png,-2,-0.3,-0.075,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.040345,0,8,8,13,1,images/r8.png,8,0.3,0.075,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,right,1.537785,0,9,9,10,1,images/r2.png,2,0.15,0.0375,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
,,left,1.07495,0,10,10,0,1,images/l8.png,-8,-0.3,-0.075,zoorkke,001,2020-11-25_18h11.55.866,lm,2020.2.8,Win32,60,,,,,,,
